module.name|Lengow
module.plugin_name|Lengow pour WooCommerce
module.plugin_uri|https://www.lengow.com/fr/integrations/woocommerce/
module.author_uri|http://www.lengow.com/fr
module.description|Avec votre module Lengow pour WooCommerce vendez rapidement vos produits sur Amazon, Ebay, Facebook, Google Shopping, Criteo, Bing et d’autres et touchez facilement de nouveaux clients partout dans le monde. Plus de 1 800 canaux marketing vous attendent sur la plateforme Lengow !
module.version|2.5.2
module.author|Lengow
module.state_technical_error|Erreur technique - Lengow
module.lengow_payment_title|Paiement Lengow
module.lengow_payment_description|Paiement automatique pour toutes les commandes de Lengow
module.processing_fee|Frais de traitement
menu.product|Produits
menu.order|Commandes
menu.jump_to_lengow|Accéder à Lengow
menu.debug_active|Debug Mode
menu.counter|Période d'essai : %{counter} jours restants
menu.upgrade_account|Souscrire
menu.order_overview|Vue d'ensemble
menu.order_parameter|Paramètres des commandes
menu.help|Aide
menu.global_parameter|Paramètres principaux
menu.new_version_available|La nouvelle version %{version} est disponible !
menu.download_plugin|Télécharger
update.version_available|Nouvelle version disponible !
update.start_now|Commencez dès maintenant à profiter des nouvelles fonctionnalités, améliorations et corrections de bugs résumées sur notre
update.link_changelog|journal des modifications.
update.step_one|Étape 1
update.download_last_version|Téléchargez la dernière version du plugin ci-dessous.
update.plugin_compatibility|Compatible avec WordPress %{cms_min_version} à %{cms_max_version}
update.extension_required|Nécessite l'extension %{name} %{min_version} à %{max_version}
update.step_two|Étape 2
update.link_follow|Suivez
update.update_procedure|la procédure de mise à jour (simple et rapide).
update.not_working|Ça ne fonctionne pas ? Contactez notre
update.customer_success_team|équipe Customer Success
update.button_download_version|Lengow WooCommerce %{version}
update.button_remind_me_later|Pas maintenant, rappelez-moi plus tard
footer.toolbox|Toolbox
footer.legals|Mentions légales
footer.plugin_lengow|Lengow WooCommerce Plugin
connection.home.description_first|Lengow vous aide à optimiser votre entreprise dans le monde entier !
connection.home.description_second|Grâce à la plateforme, vous pouvez publier automatiquement votre catalogue de produits sur des places de marché, des sites de comparaison, un réseau d'affiliés et des campagnes de reciblage.
connection.home.description_third|Explorez vos possibilités de croissance internationale grâce à 1 600 canaux de vente dans 42 pays différents.
connection.home.description_fourth|Il ne vous reste plus qu'à installer votre plugin Lengow pour WooCommerce
connection.home.button|Connecter mon WooCommerce avec Lengow
connection.home.no_account|Vous n'avez pas de compte Lengow ?
connection.home.no_account_sign_up|Inscrivez-vous gratuitement
connection.cms.credentials_title|Veuillez entrer vos identifiants API Lengow
connection.cms.credentials_description|Vous trouverez ces informations dans les paramètres de votre compte, section "A.P.I"
connection.cms.credentials_help|Besoin d'aide ?
connection.cms.credentials_help_center|Consultez notre centre d'aide
connection.cms.credentials_button|Se connecter à Lengow
connection.cms.credentials_button_loading|Connexion...
connection.cms.credentials_placeholder_access_token|Entrez votre jeton d'accès
connection.cms.credentials_placeholder_secret|Entrez votre secret
connection.cms.success_title|Bravo ! Lengow est maintenant connecté à votre WooCommerce
connection.cms.success_description_first|Vous pouvez maintenant utiliser le module, configurer vos produits et visualiser vos commandes marketplaces.
connection.cms.success_description_second|Pour importer votre catalogue et configurer vos canaux,
connection.cms.success_description_second_go_to_lengow|rendez-vous sur Lengow.
connection.cms.success_button|Aller au tableau de bord
connection.cms.success_description_first_catalog|Une dernière étape pour compléter l'installation :
connection.cms.success_description_second_catalog|Reliez vos catalogues Lengow à votre boutique WooCommerce.
connection.cms.success_button_catalog|Lier les catalogues
connection.cms.failed_title|Ooops! Impossible de connecter Lengow à votre WooCommerce
connection.cms.failed_description|Nous n'avons pas réussi à établir la connexion entre votre WooCommerce et Lengow.
connection.cms.failed_description_first_credentials|Impossible de se connecter avec les identifiants fournis.
